lesson_id,document_id,concept_id,concept_label,should_extract,evidence_chunk_id,page,notes,reviewer,review_status
lesson_05,doc_20,,,,chunk_pdf_lesson_05_001,1,1,,
lesson_05,doc_20,lesson_05_concept_001,Logistic regression,TRUE,chunk_pdf_lesson_05_002,2,Human accepted candidate,nguyen duc anh,HUMAN_APPROVED
lesson_05,doc_20,,,,chunk_pdf_lesson_05_003,3,3,,
lesson_05,doc_20,,,,chunk_pdf_lesson_05_004,4,4,,
lesson_05,doc_20,,,,chunk_pdf_lesson_05_005,5,5,,
lesson_05,doc_20,,,,chunk_pdf_lesson_05_006,6,6,,
lesson_05,doc_20,,,,chunk_pdf_lesson_05_007,7,7,,
lesson_05,doc_20,,,,chunk_pdf_lesson_05_008,8,8,,
lesson_05,doc_20,,,,chunk_pdf_lesson_05_009,9,9,,
lesson_05,doc_20,,,,chunk_pdf_lesson_05_010,10,10,,
lesson_05,doc_20,,,,chunk_pdf_lesson_05_011,11,11,,
lesson_05,doc_20,,,,chunk_pdf_lesson_05_012,12,12,,
lesson_05,doc_20,,,,chunk_pdf_lesson_05_013,13,13,,
lesson_05,doc_20,,,,chunk_pdf_lesson_05_014,14,14,,
lesson_05,doc_20,,,,chunk_pdf_lesson_05_015,15,15,,
lesson_05,doc_20,,,,chunk_pdf_lesson_05_016,16,16,,
lesson_05,doc_20,,,,chunk_pdf_lesson_05_017,17,17,,
lesson_05,doc_20,,,,chunk_pdf_lesson_05_018,18,18,,
lesson_05,doc_20,,,,chunk_pdf_lesson_05_019,19,19,,
lesson_05,doc_20,,,,chunk_pdf_lesson_05_020,20,20,,
lesson_05,doc_20,,,,chunk_pdf_lesson_05_021,21,21,,
lesson_05,doc_20,,,,chunk_pdf_lesson_05_022,22,22,,
lesson_05,doc_20,,,,chunk_pdf_lesson_05_023,23,23,,
lesson_05,doc_20,,,,chunk_pdf_lesson_05_024,24,24,,
lesson_05,doc_20,,,,chunk_pdf_lesson_05_025,25,25,,
lesson_05,doc_20,,,,chunk_pdf_lesson_05_026,26,26,,
lesson_55,doc_21,,,,chunk_pdf_lesson_55_001,1,1,,
lesson_55,doc_21,,,,chunk_pdf_lesson_55_002,2,2,,
lesson_55,doc_21,,,,chunk_pdf_lesson_55_003,3,3,,
lesson_55,doc_21,,,,chunk_pdf_lesson_55_004,4,4,,
lesson_55,doc_21,,,,chunk_pdf_lesson_55_005,5,5,,
lesson_55,doc_21,,,,chunk_pdf_lesson_55_006,6,6,,
lesson_55,doc_21,,,,chunk_pdf_lesson_55_007,7,7,,
lesson_55,doc_21,,,,chunk_pdf_lesson_55_008,8,8,,
lesson_55,doc_21,,,,chunk_pdf_lesson_55_009,9,9,,
lesson_55,doc_21,,,,chunk_pdf_lesson_55_010,10,10,,
lesson_55,doc_21,,,,chunk_pdf_lesson_55_011,11,11,,
lesson_55,doc_21,,,,chunk_pdf_lesson_55_012,12,12,,
lesson_55,doc_21,,,,chunk_pdf_lesson_55_013,13,13,,
lesson_55,doc_21,,,,chunk_pdf_lesson_55_014,14,14,,
lesson_55,doc_21,,,,chunk_pdf_lesson_55_015,15,15,,
lesson_55,doc_21,,,,chunk_pdf_lesson_55_016,16,16,,
lesson_55,doc_21,,,,chunk_pdf_lesson_55_017,17,17,,
lesson_55,doc_21,,,,chunk_pdf_lesson_55_018,18,18,,
lesson_55,doc_21,,,,chunk_pdf_lesson_55_019,19,19,,
lesson_55,doc_21,,,,chunk_pdf_lesson_55_020,20,20,,
lesson_55,doc_21,,,,chunk_pdf_lesson_55_021,21,21,,
lesson_55,doc_21,,,,chunk_pdf_lesson_55_022,22,22,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_001,1,1,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_002,2,2,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_003,3,3,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_004,4,4,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_005,5,5,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_006,6,6,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_007,7,7,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_008,8,8,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_009,9,9,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_010,10,10,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_011,11,11,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_012,12,12,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_013,13,13,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_014,14,14,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_015,15,15,,
