case_id,lesson_id,document_id,claim,source_chunk_id,page,slide,start_time,end_time,support,notes,reviewer,review_status
,lesson_05,doc_20,,chunk_pdf_lesson_05_001,1,1,,,,,,
,lesson_05,doc_20,,chunk_pdf_lesson_05_002,2,2,,,,,,
,lesson_05,doc_20,,chunk_pdf_lesson_05_003,3,3,,,,,,
,lesson_05,doc_20,,chunk_pdf_lesson_05_004,4,4,,,,,,
,lesson_05,doc_20,,chunk_pdf_lesson_05_005,5,5,,,,,,
,lesson_05,doc_20,,chunk_pdf_lesson_05_006,6,6,,,,,,
,lesson_05,doc_20,,chunk_pdf_lesson_05_007,7,7,,,,,,
,lesson_05,doc_20,,chunk_pdf_lesson_05_008,8,8,,,,,,
,lesson_05,doc_20,,chunk_pdf_lesson_05_009,9,9,,,,,,
,lesson_05,doc_20,,chunk_pdf_lesson_05_010,10,10,,,,,,
,lesson_05,doc_20,,chunk_pdf_lesson_05_011,11,11,,,,,,
,lesson_05,doc_20,,chunk_pdf_lesson_05_012,12,12,,,,,,
,lesson_05,doc_20,,chunk_pdf_lesson_05_013,13,13,,,,,,
,lesson_05,doc_20,,chunk_pdf_lesson_05_014,14,14,,,,,,
,lesson_05,doc_20,,chunk_pdf_lesson_05_015,15,15,,,,,,
,lesson_05,doc_20,,chunk_pdf_lesson_05_016,16,16,,,,,,
,lesson_05,doc_20,,chunk_pdf_lesson_05_017,17,17,,,,,,
,lesson_05,doc_20,,chunk_pdf_lesson_05_018,18,18,,,,,,
,lesson_05,doc_20,,chunk_pdf_lesson_05_019,19,19,,,,,,
,lesson_05,doc_20,,chunk_pdf_lesson_05_020,20,20,,,,,,
,lesson_05,doc_20,,chunk_pdf_lesson_05_021,21,21,,,,,,
,lesson_05,doc_20,,chunk_pdf_lesson_05_022,22,22,,,,,,
,lesson_05,doc_20,,chunk_pdf_lesson_05_023,23,23,,,,,,
,lesson_05,doc_20,,chunk_pdf_lesson_05_024,24,24,,,,,,
,lesson_05,doc_20,,chunk_pdf_lesson_05_025,25,25,,,,,,
,lesson_05,doc_20,,chunk_pdf_lesson_05_026,26,26,,,,,,
,lesson_55,doc_21,,chunk_pdf_lesson_55_001,1,1,,,,,,
,lesson_55,doc_21,,chunk_pdf_lesson_55_002,2,2,,,,,,
,lesson_55,doc_21,,chunk_pdf_lesson_55_003,3,3,,,,,,
,lesson_55,doc_21,,chunk_pdf_lesson_55_004,4,4,,,,,,
,lesson_55,doc_21,,chunk_pdf_lesson_55_005,5,5,,,,,,
,lesson_55,doc_21,,chunk_pdf_lesson_55_006,6,6,,,,,,
,lesson_55,doc_21,,chunk_pdf_lesson_55_007,7,7,,,,,,
,lesson_55,doc_21,,chunk_pdf_lesson_55_008,8,8,,,,,,
,lesson_55,doc_21,,chunk_pdf_lesson_55_009,9,9,,,,,,
,lesson_55,doc_21,,chunk_pdf_lesson_55_010,10,10,,,,,,
,lesson_55,doc_21,,chunk_pdf_lesson_55_011,11,11,,,,,,
,lesson_55,doc_21,,chunk_pdf_lesson_55_012,12,12,,,,,,
,lesson_55,doc_21,,chunk_pdf_lesson_55_013,13,13,,,,,,
,lesson_55,doc_21,,chunk_pdf_lesson_55_014,14,14,,,,,,
,lesson_55,doc_21,,chunk_pdf_lesson_55_015,15,15,,,,,,
,lesson_55,doc_21,,chunk_pdf_lesson_55_016,16,16,,,,,,
,lesson_55,doc_21,,chunk_pdf_lesson_55_017,17,17,,,,,,
,lesson_55,doc_21,,chunk_pdf_lesson_55_018,18,18,,,,,,
,lesson_55,doc_21,,chunk_pdf_lesson_55_019,19,19,,,,,,
,lesson_55,doc_21,,chunk_pdf_lesson_55_020,20,20,,,,,,
,lesson_55,doc_21,,chunk_pdf_lesson_55_021,21,21,,,,,,
,lesson_55,doc_21,,chunk_pdf_lesson_55_022,22,22,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_001,1,1,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_002,2,2,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_003,3,3,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_004,4,4,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_005,5,5,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_006,6,6,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_007,7,7,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_008,8,8,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_009,9,9,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_010,10,10,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_011,11,11,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_012,12,12,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_013,13,13,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_014,14,14,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_015,15,15,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_016,16,16,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_017,17,17,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_018,18,18,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_019,19,19,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_020,20,20,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_021,21,21,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_022,22,22,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_023,23,23,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_024,24,24,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_025,25,25,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_026,26,26,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_027,27,27,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_028,28,28,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_029,29,29,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_030,30,30,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_031,31,31,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_032,32,32,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_033,33,33,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_034,34,34,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_035,35,35,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_036,36,36,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_037,37,37,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_038,38,38,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_039,39,39,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_040,40,40,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_041,41,41,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_042,42,42,,,,,,
,lesson_57,doc_23,,chunk_pdf_lesson_57_043,43,43,,,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_001,,,,5.0,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_002,,,5.0,6.0,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_003,,,6.0,10.0,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_004,,,10.0,12.84,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_005,,,12.84,15.64,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_006,,,15.64,21.8,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_007,,,21.8,26.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_008,,,26.88,31.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_009,,,31.88,37.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_010,,,37.88,42.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_011,,,42.88,46.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_012,,,46.88,51.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_013,,,51.88,58.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_014,,,58.88,62.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_015,,,62.88,68.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_016,,,68.88,75.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_017,,,75.88,78.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_018,,,78.88,84.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_019,,,84.88,87.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_020,,,87.88,90.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_021,,,90.88,93.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_022,,,93.88,96.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_023,,,96.88,100.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_024,,,100.88,104.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_025,,,104.88,108.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_026,,,108.88,114.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_027,,,114.88,121.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_028,,,121.88,123.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_029,,,123.88,131.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_030,,,131.88,136.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_031,,,136.88,141.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_032,,,141.88,146.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_033,,,146.88,150.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_034,,,150.88,155.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_035,,,155.88,160.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_036,,,160.88,165.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_037,,,165.88,169.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_038,,,169.88,174.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_039,,,174.88,179.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_040,,,179.88,182.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_041,,,182.88,186.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_042,,,186.88,189.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_043,,,189.88,193.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_044,,,193.88,200.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_045,,,200.88,202.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_046,,,202.88,206.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_047,,,206.88,211.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_048,,,211.88,214.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_049,,,214.88,217.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_050,,,217.88,220.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_051,,,220.88,224.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_052,,,224.88,228.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_053,,,228.88,232.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_054,,,232.88,236.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_055,,,236.88,241.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_056,,,241.88,245.88,,,,
,lesson_59,doc_25,,chunk_video_lesson_59_057,,,245.88,249.88,,,,
